Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
"A borrower earns $3,000/month and makes credit card and car note payments of $500. A conventional lender requires a 27% income ratio. What monthly amount for housing expenses (principal, interest, taxes, insurance) will the lender allow this person to have in order to qualify for a conventional mortgage loan?",$810,$675,$972,"$1,040",a,,PREP FL P36
"A $250,000 interest-only loan carries a 7% rate. Monthly payments are","$1,750","$1,458","$17,500",Cannot be determined without loan term data,b,,PREP FL P37
"A lender is charging 2.75 points on a $240,000 loan. How much must the borrower pay for points?",$550,"$5,500","$6,600",$660,c,,PREP FL P38
Which of the following is generally true of a real estate investment?,"The lower the price, the lower the liquidity","The greater the return, the greater the risk","The more management, the less return","The more liquidity, the greater the return",b,,PREP FL P39
The capital gain on sale of an investment is computed as,beginning basis plus gain,sale price minus beginning basis,net sales proceeds minus beginning basis,net sales proceeds minus adjusted basis,d,,PREP FL P40
The formula for return on equity is,cash flow divided by equity,required yield times gross income,net operating income divided by equity,cash flow times the capitalization rate,a,,PREP FL P41
"Mary Bright bought a home for $80,000, paying $10,000 down and taking a mortgage loan of $70,000. The following year she had a new roof put on, at a cost of $2,000. What is Mary's adjusted basis in the house if she now sells the house for $300,000?","$12,000","$218,000","$230,000","$82,000",d,,PREP FL P42
"An office building has a potential income of $500,000 and vacancy of 10%. Its cash-paid bills total $300,000, and annual depreciation is $5,000. Payments on the loan total $100,000. What is the property's pre-tax cash flow?","$45,000","$50,000","$150,000","$155,000",b,,PREP FL P43
"A property is purchased for $200,000.  Improvements account for 75% of the value. Given a 39-year depreciation term, what is the annual depreciation expense?","$3,846","$5,128","$6,410","$8,294",a,,PREP FL P44
"An income property is bought for $500,000. Gross income is $100,000, and net operating income is $60,000. Cash flow is $10,000. What is the return on investment (ROI)?",2.00%,12%,10.00%,60.00%,b,,PREP FL P45
Which of the following is the formula for deriving the tax base of a jurisdiction?,The total tax required divided by assessed values,The total of all assessed values minus exemptions,The annual budget times the tax rate,The annual budget divided by the millage rate,b,,PREP FL P46
The purpose of a homestead tax exemption is,to exempt owners from ad valorem taxation,to offer tax abatement on a principal residence,to encourage owners to finance their principle residences,to exempt owners of principal residences who rent their properties,b,,PREP FL P47
A homeowner's tax bill for a taxing district is derived by,dividing the tax base by the district's needed revenues,multiplying the tax rate times the assessed value of the property,multiplying the tax rate times the taxable value of the property,multiplying the millage rate times the equalization factor,c,,PREP FL P48
"The village of Parrish has an annual budget requirement of $20,000,000 to be funded by property taxes. Assessed valuations are $400,000,000, and exemptions total $25,000,000. What must the tax rate be to finance the budget?",4.70%,5.33%,5.00%,11.25%,b,,PREP FL P49
"A canal dredging project is to cost $100,000. There are 40 properties along the canal, and 40 others across the street from the canal. The total canal footage to be dredged is 2,500 feet. How much will the assessment be for a 150-foot property on the canal?","$1,250","$2,500","$3,000","$6,000",d,,PREP FL P50
"A prospective homebuyer offers to buy a house if the seller agrees to pay financing points at closing. The seller gets the offer, signs it, and gives it to his agent to deliver. At this point the status of the offer is",a valid contract,an invalid contract,still an offer,an invalid offer,c,,PREP FL P51
One aim of the statute of frauds is to,set time limits for disputing contract provisions,require certain conveyances to be in writing,prevent fraudulent assignments of listing agreements,make all oral agreements unenforceable,b,,PREP FL P52
A buyer agrees to all terms of a seller's offer and sends notice of acceptance back to the seller. The seller now tells the buyer the deal is off because he has learned that the home was underpriced. Which of the following is true?,The buyer must offer the new price to get the property,The seller may counteroffer,The contract is cancelled,The buyer has a binding contract,d,,PREP FL P53
"A principal discloses to the listing agent that she must sell a property within two months to avoid a financial problem. Nearly seven weeks later, a buyer's agent hears of the seller's difficulty from the listing agent and advises his buyer to submit an offer for 80% of the listed price. The buyer complies, and the seller accepts the offer. Which of the following is true?",The buyer's agent has violated fiduciary duties owed the customer,The listing agent has violated fiduciary duties owed the customer,The buyer's agent has violated fiduciary duties owed the client,The listing agent has violated fiduciary duties owed the client,d,,PREP FL P54
An owner's agent is showing a buyer an apartment building. The buyer questions the agent as to whether some cracking paint contains lead. The agent's best course of action is to,contract to re-paint the cracked area,assure the buyer the paint is lead-free,suggest the buyer make a lower-price offer to cover the possible problem,inform the seller of the inquiry and test the paint,d,,PREP FL P55
A type of agency relationship that is illegal in Florida is,single agency,dual agency,buyer agency,nonrepresentation,b,,PREP FL P56
When must a transaction broker disclose his or her agency relationship to the transaction principals?,Before receipt of any offer,Upon completion of the listing agreement,Disclosure not required,Upon initial contact of any kind with either principal,c,,PREP FL P57
"An agent obtains a listing which ensures compensation for procuring a customer, provided the agent is the procuring cause. This agent has entered into a(n)",exclusive right-to sell agreement,exclusive agency agreement,open listing,net listing,c,,PREP FL P58
"A landlord promises to compensate a broker for procuring a tenant, provided the landlord's brother decides not to rent the property within a month. This would be an example of a(n)",exclusive right-to-lease agreement,exclusive agency agreement,open listing,net listing,b,,PREP FL P59
The amount of a real estate brokerage commission is determined by,state license law guidelines,negotiation with the client,the Board of Realtors,agreement among competing brokers,b,,PREP FL P60
The Brokerage Relationship Disclosure Act applies to transactions involving all the following property types EXCEPT,commercial properties,agricultural properties of ten acres or less,residential properties with four or fewer dwelling units,unimproved properties zoned for four or fewer residential units,a,,PREP FL P61
A Florida licensee representing an owner as a single agent must be careful to,avoid an overpriced offer that will cause buyer's remorse or lawsuits,present any offer a buyer might decide to make,disclose what price the owner will accept,avoid completing an offer that contains contingencies,b,,PREP FL P62
An example of conversion is,depositing escrow funds in a business operating account,spending a customer deposit on a surety bond for the agency,spending operating income from an apartment on roof repairs,depositing a commission into an escrow account,b,,PREP FL P63
Three leading agencies charge identical commission rates for brokering office properties in Phoenix. Which of the following is true?,This is a perfectly legitimate business practice,The brokers have engaged in legal collusion,The brokers have allocated the Phoenix market,The brokers have illegally fixed prices,a,,PREP FL P64
"A business owner insists on a price for his enterprise that exceeds the value of the tangible assets, claiming that it is a well-known family business with a loyal clientele. The excess value is known as",the buyer’s premium,goodwill,the risk factor,the profit margin,b,,PREP FL P65
"An agent informs owners in an area that a decline in property values over the past five years is due to an influx of minority families. He suggests that the trend will continue, and advises them to sell before it is too late. This agent is probably guilty of",blockbusting,redlining,discriminatory misrepresentation,negligent misrepresentation,a,,PREP FL P66
"An agent spends two hours with a minority buyer, then shows the buyer five available properties all over town. Later, a similarly qualified minority couple enter the office. The agent spends twenty minutes with the couple, gives them the MLS book to review, and encourages them to drive by the listings on their way home. If they like anything, they should come back the next day to discuss terms. This agent could be liable for",misrepresentation,steering,providing unequal services,nothing,c,,PREP FL P67
"An owner suddenly pulls a property off the market after hearing from the agent that a minority party has made a full-price offer. The agent then goes back to the minority party and reports that the seller has decided to wait until next year to sell the home. Who, if anyone, has violated fair housing laws?",Both owner and agent,The owner,The agent,No one,a,,PREP FL P68
"An owner completes a contract to sell her property. Before closing, she runs into financial trouble and assigns the contract to her mortgagor. Which of the following is true?",The owner has defaulted,The buyer can sue to nullify the mortgage,The assignment can take effect only after the closing,The sale contract remains valid,d,,PREP FL P69
Buyers and sellers rely on escrow accounts in order to,allow a third party fiduciary to handle the funds,have access to the funds without interference from the broker,prevent the broker from receiving a commission until after closing,earn equal interest on their funds,a,,PREP FL P70
An option-to-purchase expires. The landlord agrees to extend it in exchange for a higher price. The optionee claims he can exercise the option within the redemption period. Which is true?,The landlord must honor the option and sell immediately,"The landlord can extend the option term, but cannot raise the price",The landlord must extend the option but is allowed to raise the price,"The landlord is under no obligation, since options do not have a redemption period",d,,PREP FL P71
RESPA requires specific closing procedures whenever,the loan is to be guaranteed,the loan is to be sold to the FNMA,the commercial property is to be bought by FHLMC,a borrower does not fully understand closing costs,b,,PREP FL P72
"When an item is prorated between buyer and seller on a settlement statement, the closing officer must",debit the buyer and seller,credit the buyer and seller,debit and credit both buyer and seller,debit one party and credit the other,d,,PREP FL P73
Which of the following items are paid in arrears?,Taxes and insurance,Rents and interest,Taxes and interest,Rents and insurance,c,,PREP FL P74
"A sale transaction on rental property closes on December 16. The landlord received the December rent of $713 on December 1. Assuming the closing day is the seller's, and that the 365-day method is used for prorating, which of the following entries would appear on the settlement statement?",Debit seller $345.00,Credit seller $713.00,Debit buyer $345.00,Credit buyer $368.00,a,,PREP FL P75
Which of the following persons selling a time-share must hold a real estate license?,An owner selling a time-share she occupies,Any person being paid a commission to sell the time-share,A salaried individual selling time-shares for a developer,A developer’s assistant selling the time-share as a favor to the developer for no compensation,b,,PREP FL P76
Listing agreements are governed by two bodies of laws. These are agency laws and,contract laws,common laws,statutory laws,case laws,a,,PREP FL P77
"In the contracting process, a licensee must be careful to avoid",giving the principal any advice about the transaction,describing the normal requirements of a contract to a client,drafting a contract illegally,pointing out to the principals the importance of meeting contingency deadlines,c,,PREP FL P78
"If a license is issued by a mistake of the Commission, the Commission can justifiably",charge the licensee a punitive fee,file a civil suit to retrieve the license,refer the case for  mediation,revoke the license without prejudice,d,,PREP FL P79
A broker responsible for handling a trust account is violating the law by,depositing an earnest money check in a personal account,following the seller’s instructions to hold an earnest money check uncashed,removing an earned commission from a trust account without permission of the depository institution,opening an account that names the licensee as the trustee of the account,a,,PREP FL P80
The sending of unsolicited commercial email to cell phones is banned by the,Florida Telephonic Junk Prevention law,CAN-SPAM Act,FREC rules,Florida licensing law,b,,PREP FL P81
Which of the following actions by a Florida real estate licensee would violate a federal or Florida telemarketing law?,Calling a potential client at 9:00 a.m,Calling someone on another licensee’s client list,Calling a potential seller to solicit a listing,Calling a potential client while blocking caller ID,d,,PREP FL P82
A landlord refuses to rent to a single pregnant woman. The woman feels there has been illegal discrimination. How long do she have to file a complaint with the Florida commission on Human Relations?,There is no time limit,She must file immediately after the alleged violation,She has one year from the date of the alleged discrimination,This is not a violation of Florida law,c,,PREP FL P83
When do Florida counties send out property tax bills to homeowners?,On January first of each year,In late October of each year,On November first and April first of each year,On November first of every even-numbered year,b,,PREP FL P84
What is likely to happen if a homeowner fails to pay an authorized assessment to a homeowner’s association?,The unpaid assessment may become a lien against the property,The association may impose a tax sale on the property,The association may have the sheriff evict the homeowner,The property may be dropped from association membership,a,,PREP FL P85
An unlicensed applicant may be denied licensure if he presented himself as a licensee prior to applying for a license,during the previous 5 years,within 1 year,within 2 years,at any time,b,,PREP FL P86
Some fees may be waived for certain individuals. The _______ is not one of those fees,examination fee,initial unlicensed activity fee,initial licensing fee,initial application fee,a,,PREP FL P87
When is a sales associate’s license issued?,When the application is approved,When the prelicense course is completed,When the applicant passes the state license exam,When the applicant registers with an employing broker,c,,PREP FL P88
A real estate license ceases to be in force when,the licensee fails to complete post-license education,the licensed broker changes business address,a licensed sales associate applies for a broker license,the licensee fails to renew the license by the expiration date,b,,PREP FL P89
"If a licensee fails to renew the license within 2 years of becoming involuntarily inactive,",the licensee must complete 12 hours of continuing education for each year the license was inactive,the license will be revoked,the license becomes null and void,the license is deemed delinquent,c,,PREP FL P90
Florida disclosure requirements apply to,unimproved residential property to be used for four or fewer units,all improved residential property with five or more units,agricultural property of 15 or fewer acres,industrial property of 10 or fewer acres,a,,PREP FL P91
"When offering a representation of value, the broker may not",perform a comparative market analysis,perform a broker price opinion,represent his own opinion as an appraisal,use only a property survey,c,,PREP FL P92
Under which of the following conditions might a kickback be legal?,When the broker has an affiliated business arrangement with a service provider,When all involved parties are fully informed of the kickback,When the kickback is something other than cash,Never,b,,PREP FL P93
A sales associate or broker associate must notify the FREC of a change of employing broker within ___ of the change,three days,one week,10 days,30 days,c,,PREP FL P94
Which of the following entities may not register as a brokerage?,Not for profit corporation,Joint venture,Limited partnership,Sole proprietorship,b,,PREP FL P95
"If a licensee does not agree with a final hearing order, the licensee may file an appeal within _____days of receiving the order",10,20,30,60,c,,PREP FL P96
Which of the following entities is authorized to impose criminal penalties?,FREC,Administrative judges,Criminal courts,DRE,c,,PREP FL P97
Tenants who have been given a notice to vacate the rental unit for nonpayment of rent have _______ to vacate,24 hours,3 days,7 days,30 days,b,,PREP FL P98
In which type of community is there a governing body responsible for providing community development services?,CDD,HOA,Cooperative,Condominium,a,,PREP FL P99
"Which of the following best describes the person who is the ""procuring cause"" of a transaction sale?",The person who met the buyer first,The broker who employs the agent who made the sale,The person who started a series of events that led to a sale,The buyer,c,,PREP FL P100
An Assessor Parcel Number’s primary use is,for tax purposes,to create plot maps,to identify a property’s boundaries,to track property transfers,a,,PREP FL P101
Which of the following statements is true?,Disclosure of Megan’s Law requires sellers to tell buyers exactly where nearby sex offenders are located,The property tax disclosure requires sellers to inform buyers what the property taxes will be going forward,The Florida coastal property disclosure requires documentation indicating the location of the coastal construction control line,The energy efficiency disclosure requires sellers to provide energy efficient appliances when selling their property,c,,PREP FL P102
Florida places an intangible tax on,deeds,mortgage loans,deeds and liens,mortgages and deeds,b,,PREP FL P103
"In Florida, an unlicensed personal assistant",Must be compensated as an employee,May be compensated by a commission,Cannot be a licensed party,May perform administrative duties such as negotiating contracts,a,,PREP FL P104
"In the sale of a business, liabilities are considered when",determining the business valuation,preparing the business documents,preparing for closing,closing the transaction,a,,PREP FL P105
Which is true regarding the Florida Greenbelt Law?,Farmers must meet Florida’s minimum land size requirement,Property assessment is based on the highest and best use of the property,The land must be classified every year,Homeowners must reside on the land,c,,PREP FL P106
When is a superior lien placed on a property for unpaid property taxes?,April 1 following the tax year,January 1 following the tax year,November 1 of the tax year,March 1 of the tax year,b,,PREP FL P107
"In Florida, when a tax certificate is purchased at a tax certificate sale, the certificate is valid for",1 year,2 years,7 years,10 years,c,,PREP FL P108
Which of the following is an NFIP requirement specific to nonresidential structures in a special flood hazard area?,An elevated open foundation,Lowest floor above the base flood elevation,Water tight below the base flood elevation,There are no requirements specific to nonresidential structures,c,,PREP FL P109
Which flood zone has the highest flood risk?,A zone,R zone,V zone,Z zone,c,,PREP FL P110
